wavenumber_cm_minus_1,transmittance,absorbance
3.840000000000000000e+02,7.443999999999999506e-01,1.281936355412706396e-01
3.850000000000000000e+02,7.450999999999999845e-01,1.277854366024144817e-01
3.860000000000000000e+02,7.457000000000000295e-01,1.274358569093483884e-01
3.870000000000000000e+02,7.463999999999999524e-01,1.270283692615565008e-01
3.880000000000000000e+02,7.470999999999999863e-01,1.266212635908589568e-01
3.890000000000000000e+02,7.478000000000000203e-01,1.262145391817991735e-01
3.900000000000000000e+02,7.482999999999999652e-01,1.259242547769651721e-01
3.910000000000000000e+02,7.488000000000000211e-01,1.256341642699511651e-01
3.920000000000000000e+02,7.492999999999999661e-01,1.253442674018989678e-01
3.930000000000000000e+02,7.498000000000000220e-01,1.250545639144680921e-01
3.940000000000000000e+02,7.502999999999999670e-01,1.247650535498350532e-01
3.950000000000000000e+02,7.508000000000000229e-01,1.244757360506912741e-01
3.960000000000000000e+02,7.512999999999999678e-01,1.241866111602424189e-01
3.970000000000000000e+02,7.519000000000000128e-01,1.238399151743718868e-01
3.980000000000000000e+02,7.523999999999999577e-01,1.235512131216587595e-01
3.990000000000000000e+02,7.529000000000000137e-01,1.232627028593354934e-01
4.000000000000000000e+02,7.534999999999999476e-01,1.229167433493494194e-01
4.010000000000000000e+02,7.541999999999999815e-01,1.225134719303986319e-01
4.020000000000000000e+02,7.549000000000000155e-01,1.221105746285160026e-01
4.030000000000000000e+02,7.556000000000000494e-01,1.217080507502039943e-01
4.040000000000000000e+02,7.562999999999999723e-01,1.213058996038916676e-01
4.050000000000000000e+02,7.570000000000000062e-01,1.209041204999272423e-01
4.060000000000000000e+02,7.578000000000000291e-01,1.204453990610256098e-01
4.070000000000000000e+02,7.584999999999999520e-01,1.200444148772507325e-01
4.080000000000000000e+02,7.591999999999999860e-01,1.196438005807637511e-01
4.090000000000000000e+02,7.599000000000000199e-01,1.192435554897895850e-01
4.100000000000000000e+02,7.606000000000000538e-01,1.188436789244363134e-01
4.110000000000000000e+02,7.612999999999999767e-01,1.184441702066883900e-01
4.120000000000000000e+02,7.620000000000000107e-01,1.180450286603994953e-01
4.130000000000000000e+02,7.628000000000000336e-01,1.175893156260319622e-01
4.140000000000000000e+02,7.634999999999999565e-01,1.171909586075600418e-01
4.150000000000000000e+02,7.641999999999999904e-01,1.167929666476099776e-01
4.160000000000000000e+02,7.649000000000000243e-01,1.163953390777075353e-01
4.170000000000000000e+02,7.659000000000000252e-01,1.158279304760872347e-01
4.180000000000000000e+02,7.668000000000000371e-01,1.153178957939749866e-01
4.190000000000000000e+02,7.678000000000000380e-01,1.147518922186138435e-01
4.200000000000000000e+02,7.687000000000000499e-01,1.142431189307325790e-01
4.210000000000000000e+02,7.697000000000000508e-01,1.136785134405202818e-01
4.220000000000000000e+02,7.705999999999999517e-01,1.131709953230179144e-01
4.230000000000000000e+02,7.714999999999999636e-01,1.126640696008329445e-01
4.240000000000000000e+02,7.724999999999999645e-01,1.121015119031277679e-01
4.250000000000000000e+02,7.733999999999999764e-01,1.115958322629533594e-01
4.260000000000000000e+02,7.744999999999999662e-01,1.109785779047752080e-01
4.270000000000000000e+02,7.756999999999999451e-01,1.103062085558147165e-01
4.280000000000000000e+02,7.769000000000000350e-01,1.096348785518758279e-01
4.290000000000000000e+02,7.782000000000000028e-01,1.089087735322762790e-01
4.300000000000000000e+02,7.793999999999999817e-01,1.082395985433284996e-01
4.310000000000000000e+02,7.805999999999999606e-01,1.075714530547701303e-01
4.320000000000000000e+02,7.818000000000000504e-01,1.069043339037716450e-01
4.330000000000000000e+02,7.831000000000000183e-01,1.061827760325369518e-01
4.340000000000000000e+02,7.842999999999999972e-01,1.055177849899094078e-01
4.350000000000000000e+02,7.854999999999999760e-01,1.048538106240078788e-01
4.360000000000000000e+02,7.866999999999999549e-01,1.041908498308690700e-01
4.370000000000000000e+02,7.880000000000000338e-01,1.034737825104446590e-01
4.380000000000000000e+02,7.892000000000000126e-01,1.028129234198464220e-01
4.390000000000000000e+02,7.903999999999999915e-01,1.021530684204283029e-01
4.400000000000000000e+02,7.915999999999999703e-01,1.014942144656413581e-01
4.410000000000000000e+02,7.929000000000000492e-01,1.007815821486271884e-01
4.420000000000000000e+02,7.941000000000000281e-01,1.001248039789893324e-01
4.430000000000000000e+02,7.953000000000000069e-01,9.946901754724413180e-02
4.440000000000000000e+02,7.964999999999999858e-01,9.881421986284970316e-02
4.450000000000000000e+02,7.977999999999999536e-01,9.810596802617926881e-02
4.460000000000000000e+02,7.990000000000000435e-01,9.745322068600857646e-02
4.470000000000000000e+02,8.002000000000000224e-01,9.680145295702162478e-02
4.480000000000000000e+02,8.014000000000000012e-01,9.615066190331901519e-02
4.490000000000000000e+02,8.026999999999999691e-01,9.544673702322724329e-02
4.500000000000000000e+02,8.038999999999999480e-01,9.479797133768139150e-02
4.510000000000000000e+02,8.051000000000000378e-01,9.415017335768122164e-02
4.520000000000000000e+02,8.063000000000000167e-01,9.350334020064700324e-02
4.530000000000000000e+02,8.075999999999999845e-01,9.280368972839833641e-02
4.540000000000000000e+02,8.087999999999999634e-01,9.215885741705537315e-02
4.550000000000000000e+02,8.100000000000000533e-01,9.151498112135021679e-02
4.560000000000000000e+02,8.112000000000000322e-01,9.087205801073922062e-02
4.570000000000000000e+02,8.125000000000000000e-01,9.017663034908801611e-02
4.580000000000000000e+02,8.136999999999999789e-01,8.953568400438638442e-02
4.590000000000000000e+02,8.149999999999999467e-01,8.884239126002341225e-02
4.600000000000000000e+02,8.163000000000000256e-01,8.815020350057985177e-02
4.610000000000000000e+02,8.175999999999999934e-01,8.745911720936248857e-02
4.620000000000000000e+02,8.188999999999999613e-01,8.676912888643946442e-02
4.630000000000000000e+02,8.202000000000000401e-01,8.608023504853407060e-02
4.640000000000000000e+02,8.215000000000000080e-01,8.539243222891947094e-02
4.650000000000000000e+02,8.227999999999999758e-01,8.470571697731360539e-02
4.660000000000000000e+02,8.241000000000000547e-01,8.402008585977560617e-02
4.670000000000000000e+02,8.254000000000000226e-01,8.333553545860282463e-02
4.680000000000000000e+02,8.266999999999999904e-01,8.265206237222837149e-02
4.690000000000000000e+02,8.279999999999999583e-01,8.196966321511987841e-02
4.700000000000000000e+02,8.293000000000000371e-01,8.128833461767875912e-02
4.710000000000000000e+02,8.306000000000000050e-01,8.060807322614063630e-02
